round,step,coins_left
1,400,24
2,400,12
3,400,6
4,400,8
5,400,3
6,400,4
7,355,0
8,245,0
9,400,6
10,400,7
11,400,12
12,400,15
13,400,6
14,400,2
15,400,5
16,400,1
17,400,3
18,158,0
19,255,0
20,157,0
21,237,0
22,175,0
23,280,0
24,246,0
25,400,6
26,246,0
27,254,0
28,400,1
29,163,0
30,186,0
31,159,0
32,400,3
33,249,0
34,220,0
35,400,2
36,151,0
37,280,0
38,400,2
39,400,3
40,231,0
41,191,0
42,205,0
43,131,0
44,275,0
45,229,0
46,194,0
47,240,0
48,162,0
49,254,0
50,400,3
51,152,0
52,227,0
53,187,0
54,138,0
55,188,0
56,158,0
57,400,1
58,215,0
59,199,0
60,400,3
61,139,0
62,331,0
63,275,0
64,202,0
65,278,0
66,153,0
67,134,0
68,400,2
69,184,0
70,247,0
71,147,0
72,237,0
73,287,0
74,153,0
75,135,0
76,184,0
77,132,0
78,129,0
79,400,1
80,160,0
81,129,0
82,152,0
83,197,0
84,167,0
85,400,3
86,293,0
87,149,0
88,142,0
89,223,0
90,197,0
91,152,0
92,191,0
93,162,0
94,179,0
95,172,0
96,151,0
97,150,0
98,191,0
99,116,0
100,304,0
