round,step,coins_left
1,9,46
2,7,50
3,8,50
4,5,48
5,4,50
6,5,49
7,55,43
8,6,49
9,50,45
10,8,49
11,8,48
12,8,49
13,49,44
14,7,48
15,10,49
16,5,49
17,18,47
18,4,49
19,6,49
20,53,42
21,9,50
22,39,45
23,12,49
24,24,46
25,34,45
26,7,47
27,4,49
28,18,47
29,64,43
30,67,41
31,4,49
32,14,47
33,6,50
34,50,41
35,26,43
36,65,39
37,27,48
38,104,41
39,183,33
40,187,30
41,10,49
42,6,48
43,4,50
44,42,42
45,8,47
46,276,23
47,26,45
48,126,38
49,5,49
50,59,41
51,4,48
52,15,49
53,122,43
54,20,49
55,73,42
56,8,48
57,4,49
58,5,48
59,6,48
60,28,48
61,27,45
62,4,50
63,33,46
64,4,48
65,13,48
66,14,48
67,16,43
68,71,33
69,46,46
70,36,47
71,11,48
72,10,46
73,112,38
74,8,50
75,65,38
76,44,49
77,117,36
78,97,38
79,91,40
80,114,38
81,18,48
82,37,47
83,11,48
84,40,44
85,14,48
86,56,47
87,102,38
88,151,31
89,22,43
90,108,42
91,19,46
92,8,50
93,19,48
94,4,48
95,8,49
96,7,48
97,16,48
98,4,47
99,4,49
100,193,31
101,65,43
102,18,48
103,18,49
104,42,47
105,194,44
106,22,46
107,84,40
108,24,45
109,9,48
110,155,41
111,24,49
112,66,37
113,32,48
114,20,50
115,92,39
116,37,47
117,121,37
118,87,45
119,96,42
120,4,48
121,11,49
122,16,47
123,48,49
124,11,45
125,17,47
126,8,49
127,75,37
128,38,46
129,86,40
130,110,38
131,59,35
132,11,49
133,82,46
134,4,49
135,110,26
136,50,42
137,11,46
138,58,43
139,6,48
140,35,45
141,22,50
142,4,48
143,58,41
144,66,42
145,39,46
146,10,48
147,62,44
148,49,41
149,46,40
150,11,49
151,37,48
152,4,50
153,11,50
154,25,49
155,73,41
156,15,49
157,4,48
158,4,48
159,4,49
160,58,43
161,48,40
162,16,50
163,4,49
164,11,49
165,51,41
166,26,49
167,55,45
168,14,48
169,16,49
170,4,49
171,4,48
172,31,49
173,41,43
174,20,48
175,8,48
176,21,49
177,41,41
178,59,48
179,4,49
180,5,49
181,21,49
182,6,48
183,37,49
184,69,40
185,4,50
186,13,48
187,58,43
188,16,47
189,4,49
190,8,49
191,49,45
192,38,47
193,29,41
194,14,49
195,112,46
196,4,49
197,4,48
198,83,41
199,18,47
200,9,49
201,12,49
202,10,47
203,16,50
204,6,49
205,29,49
206,21,50
207,22,47
208,6,49
209,4,49
210,5,48
211,12,48
212,46,42
213,25,45
214,5,49
215,50,42
216,95,43
217,6,49
218,8,50
219,4,49
220,9,50
221,4,48
222,103,39
223,19,50
224,8,49
225,14,48
226,29,48
227,11,49
228,10,50
229,5,49
230,11,48
231,21,48
232,32,47
233,4,48
234,19,49
235,11,49
236,4,49
237,9,49
238,52,40
239,122,34
240,4,48
241,24,49
242,32,50
243,9,50
244,44,47
245,42,46
246,17,49
247,5,49
248,22,49
249,50,45
250,6,50
251,8,50
252,39,49
253,27,46
254,6,47
255,14,48
256,4,48
257,7,49
258,14,48
259,4,49
260,85,40
261,24,50
262,13,47
263,9,48
264,44,45
265,56,46
266,4,47
267,8,48
268,128,40
269,7,49
270,24,48
271,9,47
272,11,47
273,12,47
274,4,49
275,49,48
276,6,49
277,15,46
278,8,48
279,29,43
280,26,46
281,24,49
282,161,46
283,45,47
284,8,49
285,40,49
286,29,48
287,32,44
288,8,49
289,51,43
290,36,46
291,12,50
292,4,49
293,10,49
294,4,50
295,6,48
296,27,49
297,30,47
298,34,46
299,18,48
300,7,49
301,16,48
302,10,49
303,14,48
304,4,49
305,4,49
306,5,49
307,4,49
308,8,50
309,87,38
310,6,49
311,14,49
312,13,49
313,17,46
314,4,49
315,35,50
316,38,47
317,10,50
318,8,48
319,30,47
320,144,35
321,47,48
